#run-time information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	date run: 	Mon Mar 25 15:22:00 CDT 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	sct directory: 	/usr/local/slingshot_tools_26Jul2022_rev2/sct",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	sct timestamp: 	2023-10-26 14:35:02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	'non-standard' SCT args: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	ls config file:	-rwxr-xr-x 1 tuminell employee 17862 Mar 25 15:21 /var/users/systems/eni_revc/eni_revc.yaml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable_id,src_conn_a,src_conn_b,dst_conn_a,dst_conn_b,stage,src_egress_a,src_egress_b,dst_egress_a,dst_egress_b,link_type,src_group,dst_group,part_number,part_length,calculated_distance,route,,,,,,,,,,,,,
3003.3003.00.0001,x3003.c0.r47.j4,none,x3003.c0.r48.j1,none,1,none,none,none,none,local,0,0,R4K60A,1.15,0.7849926,[],,,,,,,,,,,,,
3003.3003.00.0002,x3003.c0.r47.j14,none,x3003.c0.s17.b0.n0.h0,x3003.c0.s15.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6P07A,3,2.5095048,[],,,,,,,,,,,,,
3003.3003.00.0003,x3003.c0.r48.j16,none,x3003.c0.s19.b0.n0.h0,x3003.c0.s17.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R4K57A,2.5,2.4795889,[],,,,,,,,,,,,,
3003.3003.00.0004,x3003.c0.r47.j12,none,x3003.c0.s21.b0.n0.h0,x3003.c0.s19.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R4K57A,2.5,2.3055922,[],,,,,,,,,,,,,
3003.3003.00.0005,x3003.c0.r48.j20,none,x3003.c0.s23.b0.n0.h0,x3003.c0.s21.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R4K57A,2.5,2.2526216,[],,,,,,,,,,,,,
3003.3003.00.0006,x3003.c0.r47.j10,none,x3003.c0.s25.b0.n0.h0,x3003.c0.s23.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R4K57A,2.5,2.1047696,[],,,,,,,,,,,,,
3003.3003.00.0007,x3003.c0.r48.j24,none,x3003.c0.s3.b0.n0.h0,x3003.c0.s1.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,3.0926067,[],,,,,,,,,,,,,
3003.3003.00.0008,x3003.c0.r47.j24,none,x3003.c0.s25.b0.n0.h1,x3003.c0.s1.b0.n0.h0,1,none,none,none,none,edge,0,n/a,R6F19A,4,3.0481567,[],,,,,,,,,,,,,
3003.3003.00.0009,x3003.c0.r47.j22,none,x3003.c0.s5.b0.n0.h0,x3003.c0.s3.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.9822086,[],,,,,,,,,,,,,
3003.3003.00.0010,x3003.c0.r48.j10,none,x3003.c0.s7.b0.n0.h0,x3003.c0.s5.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.9493191,[],,,,,,,,,,,,,
3003.3003.00.0011,x3003.c0.r47.j18,none,x3003.c0.s9.b0.n0.h0,x3003.c0.s7.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.8535122,[],,,,,,,,,,,,,
3003.3003.00.0012,x3003.c0.r48.j12,none,x3003.c0.s11.b0.n0.h0,x3003.c0.s9.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.7945419,[],,,,,,,,,,,,,
3003.3003.00.0013,x3003.c0.r47.j20,none,x3003.c0.s13.b0.n0.h0,x3003.c0.s11.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.6526714,[],,,,,,,,,,,,,
3003.3003.00.0014,x3003.c0.r48.j14,none,x3003.c0.s15.b0.n0.h0,x3003.c0.s13.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.6428547,[],,,,,,,,,,,,,
3002.3001.00.0000,x3002.c0.r47.j8,none,x3001.c0.r48.j8,none,1,x3002-RIGHT,none,x3001-LEFT,none,local,0,0,R4K61A,1.42,1.3390064,['x3002_RIGHT-x3001_LEFT'],,,,,,,,,,,,,
3002.3001.00.0001,x3002.c0.r47.j26,none,x3001.c0.r48.j26,none,1,x3002-RIGHT,none,x3001-LEFT,none,local,0,0,R4K61A,1.42,1.3399983,['x3002_RIGHT-x3001_LEFT'],,,,,,,,,,,,,
3002.3001.00.0002,x3002.c0.r48.j8,none,x3001.c0.r47.j8,none,1,x3002-RIGHT,none,x3001-LEFT,none,local,0,0,R4K61A,1.42,1.3390064,['x3002_RIGHT-x3001_LEFT'],,,,,,,,,,,,,
3002.3001.00.0003,x3002.c0.r48.j26,none,x3001.c0.r47.j26,none,1,x3002-RIGHT,none,x3001-LEFT,none,local,0,0,R4K61A,1.42,1.3399983,['x3002_RIGHT-x3001_LEFT'],,,,,,,,,,,,,
3002.3001.00.0004,x3002.c0.r47.j27,none,x3001.c0.r47.j6,none,1,x3002-RIGHT,none,x3001-LEFT,none,local,0,0,R4K63A,1.91,1.6504287,['x3002_RIGHT-x3001_LEFT'],,,,,,,,,,,,,
3002.3001.00.0005,x3002.c0.r47.j28,none,x3001.c0.r47.j5,none,1,x3002-RIGHT,none,x3001-LEFT,none,local,0,0,R4K63A,1.91,1.650343,['x3002_RIGHT-x3001_LEFT'],,,,,,,,,,,,,
3002.3001.00.0006,x3002.c0.r48.j27,none,x3001.c0.r48.j6,none,1,x3002-RIGHT,none,x3001-LEFT,none,local,0,0,R4K62A,1.64,1.5615288,['x3002_RIGHT-x3001_LEFT'],,,,,,,,,,,,,
3003.3000.00.0000,x3003.c0.r47.j8,none,x3000.c0.r48.j8,none,1,x3003-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,3.4437254,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3003.3000.00.0001,x3003.c0.r47.j26,none,x3000.c0.r48.j26,none,1,x3003-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,3.4447173,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3003.3000.00.0002,x3003.c0.r48.j8,none,x3000.c0.r47.j8,none,1,x3003-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,3.4437254,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3003.3000.00.0003,x3003.c0.r48.j26,none,x3000.c0.r47.j26,none,1,x3003-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,3.4447173,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3003.3000.00.0004,x3003.c0.r47.j27,none,x3000.c0.r47.j6,none,1,x3003-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,3.7551477,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3003.3000.00.0005,x3003.c0.r47.j28,none,x3000.c0.r47.j5,none,1,x3003-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,3.755062,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3003.3000.00.0006,x3003.c0.r48.j27,none,x3000.c0.r48.j6,none,1,x3003-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,3.6662477,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3002.3000.00.0000,x3002.c0.r47.j29,none,x3000.c0.r48.j2,none,1,x3002-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,2.9643033,"['x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3002.3000.00.0001,x3002.c0.r47.j30,none,x3000.c0.r48.j1,none,1,x3002-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,2.9642799,"['x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3002.3000.00.0002,x3002.c0.r47.j31,none,x3000.c0.r47.j4,none,1,x3002-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,3.0088063,"['x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3002.3000.00.0003,x3002.c0.r47.j32,none,x3000.c0.r47.j3,none,1,x3002-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,3.0086892,"['x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3002.3000.00.0004,x3002.c0.r48.j29,none,x3000.c0.r47.j2,none,1,x3002-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,2.9643033,"['x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3002.3000.00.0005,x3002.c0.r48.j30,none,x3000.c0.r47.j1,none,1,x3002-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,2.9642799,"['x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
